"RoadTripStopTypeID"|"CategoryID"|"RoadTripStopName"|"RoadTripStopDescription"|"RoadTripStopAddressLine1"|"RoadTripStopCity"|"RoadTripStopState"|"RoadTripStopZip"|"RoadTripStopLat"|"RoadTripStopLong"|"RoadTripStopEmail"|"RoadTripStopPhone"|"TicketBookingURL"|"Image"|"EventDateTime"|"RoadTripStopURL"|"PlaceID"|"SunOpen"|"SunClose"|"MonOpen"|"MonClose"|"TueOpen"|"TueClose"|"WedOpen"|"WedClose"|"ThurOpen"|"ThurClose"|"FriOpen"|"FriClose"|"SatOpen"|"SatClose"
"2"|"NULL"|"Allen’s Conoco Fillin’ Station"|"Allen’s Conoco Fillin’ Station in Commerce was built in 1929 or 1930 by F.D. Mitchell. It became a Phillips 66 Gas Station in 1938."|"101 S Main St"|"Commerce"|"OK"|"74339-2217"|"36.9329867"|"-94.8773057"|"NULL"|"NULL"|"NULL"|"https://www.historic66.com/wp-content/uploads/2020/12/f1c9dbe87566a044827c7ab2439271fa_.jpeg"|"NULL"|"https://maps.google.com/?cid=4232581255271158399"|"ChIJ0SZ4OkkXyIcRfxJq-zkmvTo"|"00:00"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"
"2"|"NULL"|"Mickey Mantle’s Childhood Home"|"Private residence"|"319 S Quincy St"|"Commerce"|"OK"|"74339"|"36.9301322"|"-94.8750348"|"NULL"|"NULL"|"http://www.atlasobscura.com/places/home-of-mickey-mantle"|"https://www.historic66.com/templates/data/images/sharepoi.svg"|"NULL"|"https://maps.google.com/?cid=10596678301593638739"|"ChIJ68REe0gXyIcRUxeUjcX2DpM"|"00:00"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"
"2"|"NULL"|"Mickey Mantle Field"|"In 2010, Commerce officials dedicated a statue of Mickey Mantle designed by local artist Nick Calcagno. The statue stands beyond center field at the Commerce High School baseball field where Mantle first began playing baseball."|"400 S Mickey Mantle Blvd"|"Commerce"|"OK"|"74339"|"36.9254514"|"-94.8726975"|"NULL"|"NULL"|"http://mickeymantleclassic.com/"|"https://www.historic66.com/wp-content/uploads/2020/12/d2c906eedda0e9039145925ed6f224d2_.jpeg"|"NULL"|"https://maps.google.com/?cid=3170354839951260108"|"ChIJsxfepjgXyIcRzDk8_-1c_ys"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"
"2"|"NULL"|"Picher – Ghost Town"|"In 1913, as the Tri-State district expanded, lead and zinc ore were discovered on Harry Crawfish's claim and mining began. A town site developed overnight around the new workings and was named Picher in honor of O. S. Picher, owner of Picher Lead Company. The city was incorporated in 1918, and by 1920, Picher had a population of 9,726. Peak population occurred in 1926 with 14,252 residents. Mining ceased in 1967. The contaminated water from some 14,000 abandoned mine shafts, 70 million tons of mine tailings, and 36 million tons of mill sand and sludge remained as a huge environmental cleanup problem. As a result of national legislation to identify and remediate such environmentally hazardous sites, in 1980 the area was designated as part of the Tar Creek Superfund site."|"NULL"|"Picher"|"OK"|"74360"|"36.9870116"|"-94.8307844"|"NULL"|"NULL"|"NULL"|"https://www.historic66.com/wp-content/uploads/2020/12/8e9001ceffee2dd23f940079d579a060_.jpeg"|"NULL"|"https://maps.google.com/?q=Picher,+OK+74360,+USA&ftid=0x87c8110b2021d1e5:0xdb772c92f1a2529a"|"ChIJ5dEhIAsRyIcRmlKi8ZIsd9s"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"
"2"|"NULL"|"Constable Campbell Memorial"|"Constable William Campbell was shot and killed by the notorious outlaw gang led by Bonnie and Clyde. The Chief of Police was also shot and wounded in the incident."|"618 Commerce Ave"|"Commerce"|"OK"|"74339-2402"|"36.9330746"|"-94.8714607"|"NULL"|"NULL"|"NULL"|"https://www.historic66.com/templates/data/images/sharepoi.svg"|"NULL"|"https://maps.google.com/?q=618+Commerce+Ave,+Commerce,+OK+74339,+USA&ftid=0x87c81736471e09c1:0x52fc087b573b3a0"|"Eik2MTggQ29tbWVyY2UgQXZlLCBDb21tZXJjZSwgT0sgNzQzMzksIFVTQSIbEhkKFAoSCcEJHkc2F8iHEfxr7GF3C4NeEOoE"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"
"2"|"NULL"|"The Hitch n Post Flea Market"|"NULL"|"401 Commerce Ave"|"Commerce"|"OK"|"74339"|"36.9332866"|"-94.87410349999999"|"NULL"|"(918) 675-4519"|"http://www.thehitch-n-post.com/"|"https://www.historic66.com/wp-content/uploads/2020/12/f5ab0dc1df3120d52f07287a5d01ffb1_.jpeg"|"NULL"|"https://maps.google.com/?cid=14027027916807685049"|"ChIJfcSowUkXyIcRuUPPa5IDqsI"|"NULL"|"NULL"|"10:00"|"17:30"|"10:00"|"17:30"|"10:00"|"17:30"|"10:00"|"17:30"|"10:00"|"17:30"|"10:00"|"17:30"
"2"|"NULL"|"Dairy King"|"The building originally housed a circa 1930 cottage-style gas station. The old fashioned drive in is known for burgers, soft-serve ice cream and handmade Route 66 cookies shaped like the Route 66 shield. Owners Charles Duboise and his mother Treva serve food with a smile and share the history of the city. NOTE: cash is required as they don’t accept checks or credit cards."|"100 N Main St"|"Commerce"|"OK"|"74339-1414"|"36.9331888"|"-94.8777752"|"NULL"|"(918) 675-4261"|"NULL"|"https://www.historic66.com/wp-content/uploads/2020/12/784b2a73dc3b61249a4ed8953367b112_.jpeg"|"NULL"|"https://maps.google.com/?cid=4553093978286662748"|"ChIJDcTfR0kXyIcRXCS_lNnWLz8"|"NULL"|"NULL"|"10:00"|"18:00"|"10:00"|"18:00"|"10:00"|"18:00"|"10:00"|"18:00"|"10:00"|"18:00"|"11:00"|"15:00"
"2"|"NULL"|"Coleman Theater"|"The Coleman Theater opened on April 18, 1929. Counted among the many things that make this theater is unique is the Wurlitzer organ built in 1928 and delivered for installation on Feb. 21, 1929. It sold for $35,000 and is the only Wurlitzer organ built in 1928 that is in its original location. Among the many stars who have performed on the Coleman Theater stage are Will Rogers, Tom Mix, Sally Rand, Bing Crosby, Jim Thorpe, the magician Harry Blackstone and Moscelyn Larkin."|"103 N Main St"|"Miami"|"OK"|"74354-6324"|"36.87635830000001"|"-94.8777389"|"NULL"|"(918) 540-2425"|"http://www.thecolemantheatre.org/"|"https://www.historic66.com/wp-content/uploads/2020/12/b24ca5ee42d2465dbd25b56dcfe47dfd_.jpeg"|"NULL"|"https://maps.google.com/?cid=18266034529213772801"|"ChIJqTMmppQXyIcRAXTOcKD9ff0"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"
"2"|"NULL"|"Miami Convention and Visitors Bureau"|"ROUTE 66 PASSPORT STAMP PLACE The Route 66 Visitor Center is a great place to stop for free brochures as you enter Oklahoma in Northeast Oklahoma. The gift shop offers one of a kind souvenirs to take back home. The center houses the CVB staff that can help you plan your trip across Oklahoma. Find more information online at www.visitmiamiok.com or download the Visit Miami OK app."|"111 N Main St"|"Miami"|"OK"|"74354"|"36.87667890000001"|"-94.8777315"|"NULL"|"(918) 542-4435"|"http://www.visitmiamiok.com/"|"https://www.historic66.com/wp-content/uploads/2020/12/a28359482cf05263a5a9672d55eed1be_.jpeg"|"NULL"|"https://maps.google.com/?cid=14187885734630079119"|"ChIJkeMbr5QXyIcRjzp1rud-5cQ"|"NULL"|"NULL"|"09:00"|"17:00"|"09:00"|"17:00"|"09:00"|"17:00"|"09:00"|"17:00"|"09:00"|"17:00"|"NULL"|"NULL"
"2"|"NULL"|"Route 66 Vintage Iron"|"Route 66 Vintage Iron, a motorcycle museum and gift shop, opened in May of 2006."|"128 S Main St"|"Miami"|"OK"|"74354-7025"|"36.8722542"|"-94.8777211"|"NULL"|"(918) 542-6170"|"http://www.route66vintageiron.com/"|"https://www.historic66.com/wp-content/uploads/2020/12/792cdb1b70be7d6ea943648244caf95f_.jpeg"|"NULL"|"https://maps.google.com/?cid=9443427743244716518"|"ChIJZZrtiOsXyIcR5okrwn_LDYM"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"|"NULL"
